longueur de pétale (cm);Largeur de pétale;Longueur de sépale;Largeur de sépale;ID;Espèce
1.3;0.3;5.0;3.5;8260aa87-cc6b-40b4-a837-6fbb9b992e79;Iris-setosa
5.1;1.6;6.0;2.7;838a68d8-62b4-4a6c-941a-585807e69fde;Iris-versicolor
1.4;0.2;5.0;3.6;83bfde8c-b24a-48b3-86fd-acf851fd8429;Iris-setosa
1.5;0.2;5.4;3.7;84dcd2d6-9cbb-4649-aae6-289e40927847;Iris-setosa
5.6;2.4;6.3;3.4;857ca54e-41e3-4155-8733-64918da661a4;Iris-virginica
4.0;1.0;6.0;2.2;89ebdbd5-e2b0-4d78-8e46-a2d82337f5b9;Iris-versicolor
5.7;2.5;6.7;3.3;89fb901e-a117-404d-a4f8-7209ad8ea2b0;Iris-virginica
1.4;0.3;4.6;3.4;8ca6df65-b6c4-4267-9db4-42383fa27d76;Iris-setosa
4.2;1.3;5.7;2.9;8e80fe15-367d-4766-8181-e3853ab57f78;Iris-versicolor
1.3;0.2;4.7;3.2;911f3697-4ac3-4e90-8941-ab02a708e10d;Iris-setosa
4.5;1.5;5.6;3.0;917ef77c-0aa3-4eab-8fb2-2291e1e19366;Iris-versicolor
1.5;0.2;5.2;3.5;94a1c426-721a-47b0-aa85-aa05e7a9c555;Iris-setosa
1.4;0.2;5.1;3.5;95044833-96e0-4706-85b0-30d51d5957c5;Iris-setosa
5.2;2.0;6.5;3.0;9575f384-3276-46c0-8eec-1e2e70ac3edd;Iris-virginica
4.0;1.2;5.8;2.6;95dad3a5-e19b-49bf-80a3-607970268e54;Iris-versicolor
4.7;1.4;6.1;2.9;97942311-9087-4e8f-b424-34d02369edf8;Iris-versicolor
1.4;0.2;4.6;3.2;97db5d1c-2f2c-48ce-b90d-81426f120049;Iris-setosa
1.4;0.2;5.5;4.2;9b16d255-c5d3-4471-be07-a4153239b751;Iris-setosa
4.6;1.3;6.6;2.9;9e91eb07-8d66-44bd-b407-f6165425fac7;Iris-versicolor
1.5;0.4;5.7;4.4;a42bfde1-369f-4080-b346-81d817b6e5f8;Iris-setosa
4.2;1.3;5.6;2.7;a60fc5a1-9300-4495-8cd2-4ae6c9797232;Iris-versicolor
3.9;1.2;5.8;2.7;a6456896-b092-47cc-bdc7-497702359862;Iris-versicolor
3.3;1.0;4.9;2.4;a77235a5-dc2d-4b20-ba9b-925adf24e522;Iris-versicolor
1.4;0.1;4.8;3.0;a895a738-1c53-44c6-8c0a-b852bbb511d4;Iris-setosa
4.8;1.8;6.2;2.8;a9d65ecb-883a-44c2-97d3-92b547e4018d;Iris-virginica
6.0;2.5;6.3;3.3;ac953a02-1852-41c3-b326-8a0a9d513f32;Iris-virginica
5.8;1.8;6.7;2.5;adf0904f-8d78-4de0-95e7-04d175948bb7;Iris-virginica
1.3;0.2;4.4;3.2;ae343a80-4c0b-4c8f-9b3f-afd689f67955;Iris-setosa
3.9;1.4;5.2;2.7;af6b0da7-4283-4a18-8ae3-7019901f9528;Iris-versicolor
5.5;1.8;6.4;3.1;b18a380d-a70f-45a4-90db-fb8e6b83ae8b;Iris-virginica
4.5;1.5;6.0;2.9;b366022d-ddb5-4556-8246-69d6dcb4c9e6;Iris-versicolor
6.9;2.3;7.7;2.6;b6eb4add-bf92-4cd3-b006-97751f42ecf7;Iris-virginica
5.3;1.9;6.4;2.7;ba5820f4-9dc4-45cd-8035-24b8294a7cca;Iris-virginica
4.0;1.3;6.1;2.8;bdfffa10-67bf-469f-8c2d-7b081cbc1d39;Iris-versicolor
1.6;0.2;4.8;3.1;bed22317-f9b1-4452-9dfe-4aa6762145fa;Iris-setosa
1.5;0.3;5.1;3.8;bf9ba5bd-495b-4020-ad8f-84a2056a218a;Iris-setosa
5.0;1.9;6.3;2.5;c0fb5413-9bbd-40dc-89d2-f82de866dd20;Iris-virginica
6.1;2.5;7.2;3.6;c1422641-f408-4748-807e-047b5d1dec29;Iris-virginica
6.3;1.8;7.3;2.9;c3df88ce-1f25-478d-9c11-80518230bad7;Iris-virginica
1.7;0.2;5.4;3.4;c5b92042-4c6b-4df8-a9c4-e6d4b6558137;Iris-setosa
6.7;2.0;7.7;2.8;c61aa024-0eac-48c0-93eb-2082de8f51b8;Iris-virginica
4.9;1.5;6.3;2.5;c660988b-a4b4-4261-9f14-d8eab78b2a38;Iris-versicolor
1.5;0.4;5.4;3.4;c9180cc3-ea60-4bde-bb91-05f0b549912d;Iris-setosa
1.0;0.2;4.6;3.6;cd4ebcab-1dab-4473-9a3d-d1e79e15df61;Iris-setosa
1.6;0.6;5.0;3.5;d1d1edbd-360b-4980-b818-95c9fb6d0a91;Iris-setosa
1.6;0.2;4.8;3.4;d23ec4ae-c5f8-4d1d-8737-d42e8f2f85f6;Iris-setosa
5.1;1.5;6.3;2.8;d24f8f63-f6fb-438f-a4df-0f488c88091e;Iris-virginica
4.5;1.5;6.2;2.2;d2fe8290-74e2-4165-9014-8ac5e7a076ee;Iris-versicolor
5.3;2.3;6.4;3.2;d4437157-c107-43fd-97e9-3e907d19c008;Iris-virginica
4.0;1.3;5.5;2.5;d4bb2ed5-ce6d-43ca-9916-b03acafb4a2d;Iris-versicolor
1.9;0.4;5.1;3.8;d717675a-6fb5-44c6-b951-7e26d10037ae;Iris-setosa
4.8;1.8;5.9;3.2;d813b62c-0a96-44b1-a0bf-28ef5f3a38b3;Iris-versicolor
3.8;1.1;5.5;2.4;d9c73479-19d9-40c3-9b91-5e8953a437e3;Iris-versicolor
4.7;1.6;6.3;3.3;da68af35-a62b-4e7f-bacb-d1918a006803;Iris-versicolor
1.7;0.5;5.1;3.3;db942eaa-79e2-4ef9-88a8-f4bce5576229;Iris-setosa
6.1;2.3;7.7;3.0;dfae970e-6924-47df-b3fa-05de31aecc16;Iris-virginica
1.5;0.2;5.3;3.7;e040f312-8a47-4f80-9420-080ba05a49a0;Iris-setosa
5.7;2.3;6.9;3.2;e3570c94-fc00-40e7-bcb8-af94e18b3dec;Iris-virginica
3.6;1.3;5.6;2.9;e4ed7dfa-0ec1-47c1-9aac-c024461b8dbf;Iris-versicolor
5.0;1.7;6.7;3.0;e65abc4c-fd8a-4b7e-a1b1-aae7db38876f;Iris-versicolor
5.4;2.1;6.9;3.1;e968b034-884a-4517-aba4-887388f55cf8;Iris-virginica
1.3;0.3;4.5;2.3;ea026b79-ba31-4a59-8955-05e01b733658;Iris-setosa
5.1;2.4;5.8;2.8;ea18fae2-1648-43bf-b9cf-c6852fad4c78;Iris-virginica
1.6;0.2;5.0;3.0;ed81343d-450c-45dd-b5e8-5f7397118f9e;Iris-setosa
5.1;1.8;5.9;3.0;f0891699-9c58-4e37-af23-0a59c8495636;Iris-virginica
1.6;0.2;5.1;3.8;f0d5aa79-5412-43c8-b56b-fa7b31b2669d;Iris-setosa
3.5;1.0;5.7;2.6;f3389aa9-2979-45b0-b099-6dcbdd67df45;Iris-versicolor
4.0;1.3;5.5;2.3;f403173d-be08-4dc2-bb77-515eb4e100fd;Iris-versicolor
1.3;0.4;5.4;3.9;f55ab874-a6a5-43d4-af8f-a5cf1bde9142;Iris-setosa
1.6;0.4;5.0;3.4;f5a865d1-b0ad-4f35-8ed4-57f63537c5cf;Iris-setosa
1.5;0.1;4.9;3.1;f90fe8a4-a6f8-4b64-a123-cc4500f7d073;Iris-setosa
5.5;2.1;6.8;3.0;f91c0f0a-0353-45b4-9037-b14307968c8f;Iris-virginica
1.2;0.2;5.8;4.0;fe8c14c0-852d-4978-b901-7e5d442dad2d;Iris-setosa
1.3;0.2;5.5;3.5;ff52f26d-0842-4bb0-b8ee-f683215cbffa;Iris-setosa
